region,World,World,World
climate_model,MAGICC6,MAGICC6,MAGICC6
todo,N/A,N/A,N/A
scenario,NDC_10_2000,NDC_2000,NDC_5_2000
unit,K,K,K
variable,Surface Temperature,Surface Temperature,Surface Temperature
model,unspecified,unspecified,unspecified
time,,,
1765-01-01 00:00:00,0.0,0.0,0.0
1766-01-01 00:00:00,0.000625633535,0.000625633535,0.000625633535
1767-01-01 00:00:00,0.0067947225,0.0067947225,0.0067947225
1768-01-01 00:00:00,0.0135965995,0.0135965995,0.0135965995
1769-01-01 00:00:00,0.014116839499999999,0.014116839499999999,0.014116839499999999
1770-01-01 00:00:00,0.0060955114500000004,0.0060955114500000004,0.0060955114500000004
1771-01-01 00:00:00,0.007176141699999999,0.007176141699999999,0.007176141699999999
1772-01-01 00:00:00,0.0116422925,0.0116422925,0.0116422925
1773-01-01 00:00:00,0.013136805000000001,0.013136805000000001,0.013136805000000001
1774-01-01 00:00:00,0.0137492065,0.0137492065,0.0137492065
1775-01-01 00:00:00,0.013625758500000001,0.013625758500000001,0.013625758500000001
1776-01-01 00:00:00,0.0156292195,0.0156292195,0.0156292195
1777-01-01 00:00:00,0.020342285,0.020342285,0.020342285
1778-01-01 00:00:00,0.0258107445,0.0258107445,0.0258107445
1779-01-01 00:00:00,0.028786346500000004,0.028786346500000004,0.028786346500000004
1780-01-01 00:00:00,0.030505831999999997,0.030505831999999997,0.030505831999999997
1781-01-01 00:00:00,0.031007035499999995,0.031007035499999995,0.031007035499999995
1782-01-01 00:00:00,0.0288365025,0.0288365025,0.0288365025
1783-01-01 00:00:00,0.023443030499999996,0.023443030499999996,0.023443030499999996
1784-01-01 00:00:00,0.0066256794999999995,0.0066256794999999995,0.0066256794999999995
1785-01-01 00:00:00,-0.003388117,-0.003388117,-0.003388117
1786-01-01 00:00:00,0.0105862595,0.0105862595,0.0105862595
1787-01-01 00:00:00,0.0225239645,0.0225239645,0.0225239645
1788-01-01 00:00:00,0.0302499675,0.0302499675,0.0302499675
1789-01-01 00:00:00,0.033535376000000006,0.033535376000000006,0.033535376000000006
1790-01-01 00:00:00,0.0234295745,0.0234295745,0.0234295745
1791-01-01 00:00:00,0.0028711771,0.0028711771,0.0028711771
